,"The date range of the seasonal run. Winter and Late-fall will have a range by month and year. Spring and Fall will be a full, singular year.",The simplified year of the seasonal run. The ending year of the Winter and Late-fall runs is the simplified year.,"Fall, Winter, Spring and Late-Fall runs.
The Feather River Survey does not provide separate estimates for fall and spring escapement.  Spring-run estimates are included with fall-run estimates.
","The river system can either be 1) Sacramento River, 2) San Joaquin River, or 3) Central Valley. The Central Valley River System is a combination of both the Sacramento and San Joaquin River Systems.","This field only applies to Fall-run counts in the Sacramento River System. There are three reaches: 1) Keswick Dam to Red Bluff Diversion Dam (RBDD), 2) RBDD to Princeton Ferry, and 3) Princeton Ferry to Sacramento. ","Angler Harvest, Carcass, Hatchery, In-River Count, Snorkel, or Transfer.  When available, the carcass survey estimate is used instead of the snorkel survey estimate.  Hatchery estimates account for fish returning to a hatchery. Transfer estimates account for fish that are captured and transferred to a specified hatchery. In-River Count estimates fish escapements within the specified river, although the data collection type is not provided. ","The location of where the estimate or count was taken. In the Sacramento River Main Stem, the escapement estimate may include numbers of fish for tributaries where estimates were not made.",The location of the associated hatchery where either the estimate was taken or fish were transferred. ,The origin of fish that were transferred to a hatchery.,"When available, the specific location along the river is provided. ",The estimated quantity of Chinook escapement. 
SPECIES,YEAR_RANGE,YEAR,RUN,RIVER_SYSTEM,REACH,DATA_COLLECTION_TYPE,RIVER,HATCHERY,HATCHERY_TRANSFER_FROM,RIVER_LOCATION,ESTIMATE
Chinook,1975,1975,Fall,Sacramento River,Princeton Ferry to Sacramento,In-River Count,Feather River,,,,"37,735"
Chinook,1975,1975,Fall,Sacramento River,Princeton Ferry to Sacramento,In-River Count,American River,,,,"32,132"
Chinook,1975,1975,Fall,Sacramento River,Keswick Dam to RBDD,Hatchery,Battle Creek,Coleman National Fish Hatchery,,,"2,431"
Chinook,1975,1975,Fall,Sacramento River,Keswick Dam to RBDD,In-River Count,Battle Creek,,,Downstream of CNFH,"2,426"
Chinook,1975,1975,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Antelope Creek,,,,90
Chinook,1975,1975,Fall,Sacramento River,Keswick Dam to RBDD,Transfer,Sacramento River Main Stem,Coleman National Fish Hatchery,Keswick Dam and Anderson-Cottonwood Dam,,881
Chinook,1975,1975,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Coyote Creek,,,,160
Chinook,1975,1975,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Craig Creek,,,,270
Chinook,1975,1975,Fall,Sacramento River,RBDD to Princeton Ferry,In-River Count,Deer Creek,,,,328
